reason,new_ministry,news_item_id,title,old_path,new_path
mois-pack4,행정안전부,156375792,"(설명자료)포항지진 특별법에 따라 피해구제 지원은 금년 9월부터 시행되며, 관련 시행령은 피해구제심의위와 협의하여 마련 예정(국민일보, 2.16일자 인터넷판 보도)",data/2020/2020-02/2020-02-17/036_미분류_설명자료_포항지진_특별법에_따라_피해구제_지원은_금년_9월부터_시행되며_관련_시행령은_피해구제심의위와_협의하여_마련_예정_국민일보_2_16일자_.md,data/2020/2020-02/2020-02-17/036_행정안전부_설명자료_포항지진_특별법에_따라_피해구제_지원은_금년_9월부터_시행되며_관련_시행령은_피해구제심의위와_협의하여_마련_예정_국민일보_2_16일자_.md
mois-pack4,행정안전부,156446135,포항지진피해구제법 시행령 개정안 4.16일부터 시행,data/2021/2021-04/2021-04-13/057_미분류_포항지진피해구제법_시행령_개정안_4_16일부터_시행.md,data/2021/2021-04/2021-04-13/057_행정안전부_포항지진피해구제법_시행령_개정안_4_16일부터_시행.md
motie-pack4,산업통상자원부,156484577,제58회 ｢무역의 날｣ 기념식 개최,data/2021/2021-12/2021-12-06/061_미분류_제58회_무역의_날_기념식_개최.md,data/2021/2021-12/2021-12-06/061_산업통상자원부_제58회_무역의_날_기념식_개최.md
mois-pack4,행정안전부,156501035,"(설명) 섬진강 남원·임실·순창 홍수 피해 주민 1,879명 중 1,829명에게 284억원 지급 결정 [경향신문 2022.3.28일자 기사에 대한 설명]",data/2022/2022-03/2022-03-28/007_미분류_설명_섬진강_남원_임실_순창_홍수_피해_주민_1_879명_중_1_829명에게_284억원_지급_결정_경향신문_2022_3_28일자_기사에_대한_설.md,data/2022/2022-03/2022-03-28/007_행정안전부_설명_섬진강_남원_임실_순창_홍수_피해_주민_1_879명_중_1_829명에게_284억원_지급_결정_경향신문_2022_3_28일자_기사에_대한_설.md
motie-pack4,산업통상자원부,156536553,반도체 장비 글로벌 기업들의 국내 R&D 투자 확대,data/2022/2022-11/2022-11-15/065_미분류_반도체_장비_글로벌_기업들의_국내_R_D_투자_확대.md,data/2022/2022-11/2022-11-15/065_산업통상자원부_반도체_장비_글로벌_기업들의_국내_R_D_투자_확대.md
me-pack4,환경부,156571445,"기후에너지 별들의 경쟁, 국내 최대규모 개최",data/2023/2023-05/2023-05-25/044_미분류_기후에너지_별들의_경쟁_국내_최대규모_개최.md,data/2023/2023-05/2023-05-25/044_환경부_기후에너지_별들의_경쟁_국내_최대규모_개최.md
msit-pack4,과학기술정보통신부,156574964,"5월 정보통신산업(ICT) 수출 144.5억불, 수입 112.0억불",data/2023/2023-06/2023-06-14/056_미분류_5월_정보통신산업_ICT_수출_144_5억불_수입_112_0억불.md,data/2023/2023-06/2023-06-14/056_과학기술정보통신부_5월_정보통신산업_ICT_수출_144_5억불_수입_112_0억불.md
me-pack4,환경부,156596932,제18회 자생 동·식물 세밀화 공모전 수상작 전시회 개최,data/2023/2023-10/2023-10-31/023_미분류_제18회_자생_동_식물_세밀화_공모전_수상작_전시회_개최.md,data/2023/2023-10/2023-10-31/023_환경부_제18회_자생_동_식물_세밀화_공모전_수상작_전시회_개최.md
me-pack4,환경부,156620994,"겨울철 물새류, 최근 10년간 연평균 130만 마리 도래",data/2024/2024-03/2024-03-20/073_미분류_겨울철_물새류_최근_10년간_연평균_130만_마리_도래.md,data/2024/2024-03/2024-03-20/073_환경부_겨울철_물새류_최근_10년간_연평균_130만_마리_도래.md
me-pack4,환경부,156629529,우리나라 찾는 도요새 56종 81.5만 마리… 2015년 대비 67% 늘었다,data/2024/2024-05/2024-05-08/078_미분류_우리나라_찾는_도요새_56종_81_5만_마리_2015년_대비_67_늘었다.md,data/2024/2024-05/2024-05-08/078_환경부_우리나라_찾는_도요새_56종_81_5만_마리_2015년_대비_67_늘었다.md
mois-pack4,행정안전부,156638650,(설명) 정부는 지자체와 협력해 지방하천에서 금년 홍수기에 안전문제가 발생하지 않게 적극 관리 중,data/2024/2024-06/2024-06-29/004_미분류_설명_정부는_지자체와_협력해_지방하천에서_금년_홍수기에_안전문제가_발생하지_않게_적극_관리_중.md,data/2024/2024-06/2024-06-29/004_행정안전부_설명_정부는_지자체와_협력해_지방하천에서_금년_홍수기에_안전문제가_발생하지_않게_적극_관리_중.md
me-pack4,환경부,156689638,교장·교감 등 인천지역 학교관리자 환경교육역량 강화 지원,data/2025/2025-05/2025-05-19/061_미분류_교장_교감_등_인천지역_학교관리자_환경교육역량_강화_지원.md,data/2025/2025-05/2025-05-19/061_환경부_교장_교감_등_인천지역_학교관리자_환경교육역량_강화_지원.md
